english	spanish	accepted_es	accepted_en	split
this is his house	ésta es su casa	ésta es su casa	this is her house|this is his house|this is their house|this is your house	train
lunch is ready	el almuerzo está preparado	el almuerzo está preparado	lunch is ready	train
im busy	estoy ocupado	estoy ocupado	im busy	train
we dont have time	no tenemos tiempo	no tenemos tiempo	we dont have time|we have no time	train
he knows everything	él lo sabe todo	sabe todo|él lo sabe todo	he knows everything	train
sell !	¡ vende !	¡ vende !	sell !	train
youre mine now	ya te tengo	ahora eres mía|ya eres mío|ya te tengo	youre mine now	train
what are you ?	¿ qué eres ?	¿ qué eres ?	what are you ?	train
come at once	ven enseguida	ven enseguida	come at once|come immediately	train
i guess we could	supongo que podemos	supongo que podemos	i guess we could	train
tom is still crying	tom todavía está llorando	tom todavía está llorando	tom is still crying	train
youre welcome !	¡ de nada !	¡ de nada !	youre welcome !	train
i want respect	quiero respeto	quiero respeto	i want respect	train
its not your turn	no es tu turno	no es tu turno	its not your turn	train
mary helped us	maría nos ayudó	maría nos ayudó	mary helped us	train
youre not there anymore	ya no estás allá	ya no estás allá	youre not there anymore	train
he might be drunk	puede que esté borracho	puede que esté borracho	he might be drunk	train
ill meet you tomorrow	te veo mañana	te veo mañana	ill meet you tomorrow|ill see you tomorrow|see you tomorrow	train
i play with him	juego con él	juego con él	i play with him	train
the woman eats bread	la mujer come pan	la mujer come pan	the woman eats bread	train
unfortunately it rained	desafortunadamente llovió	desafortunadamente llovió	unfortunately it rained	train
the woman is fat	la mujer es gorda	la mujer es gorda|la mujer está gorda	the woman is fat	train
your english is perfect	tu inglés es perfecto	tu inglés es perfecto	your english is perfect	train
now is your time	ahora es tu momento	ahora es tu momento	now is your time	train
i want water	quiero agua	quiero agua	i want some water|i want water	train
tom needs a job	tom necesita un trabajo	tom necesita un trabajo	tom needs a job	train
tom felt disappointed	tom se sintió decepcionado	tom se sintió decepcionado	tom felt disappointed	train
i killed god	maté a dios	maté a dios	i killed god	train
im not sure	no estoy seguro	no estoy seguro	i am not sure|im not sure	train
she left him	ella lo dejó	ella lo dejó	she left him	train
i did it	lo hice	lo hice	i did it	train
i feel safe here	me siento segura acá	me siento segura acá	i feel safe here	train
i know its cold	sé que hace frío	sé que hace frío	i know its cold	train
i want that book	quiero ese libro	quiero ese libro	i want that book	train
we study arabic	nosotros estudiamos árabe	nosotros estudiamos árabe	we study arabic	train
i wont leave	no me iré	no me iré	i wont leave	train
the world has changed	el mundo ha cambiado	el mundo ha cambiado	the world has changed	train
this is excellent wine	es un vino excelente	es un vino excelente	its an excellent wine|thats an excellent wine|this is excellent wine	train
tom looks tired	tom parece cansado	tom parece cansado|tom se ve cansado	tom looks tired	train
she knows you	ella te conoce	ella te conoce	she knows you	train
better leave it !	mejor déjalo	mejor déjalo	better leave it !	train
she was making tea	ella estaba haciendo té	ella estaba haciendo té	she was making tea	train
im hot	tengo calor	tengo calor	i am hot|im hot	train
he could speak french	él sabía hablar francés	él sabía hablar francés	he could speak french	train
they already know	ya saben	ellas ya saben|ellos ya saben|ya saben	they already know	train
we cant sue	no podemos demandar	no podemos demandar	we cant sue	train
that really happened	eso realmente sucedió	eso realmente sucedió	that really happened	train
she writes chinese	ella escribe chino	ella escribe chino	she writes chinese	train
i wrote the book	escribí el libro	escribí el libro	i wrote the book	train
my english is bad	mi inglés es malo	mi inglés es malo	my english is bad	train
we have enough time	tenemos suficiente tiempo	tenemos suficiente tiempo|tenemos tiempo suficiente	we have enough time	train
she didnt buy bread	no compró el pan	no compró el pan	she didnt buy bread	train
shes so beautiful	es tan bella	es tan bella	its so beautiful|shes so beautiful	train
we must work together	tenemos que trabajar juntos	tenemos que trabajar juntos	we must work together	train
i came yesterday	he venido ayer	he venido ayer	i came yesterday	train
were too drunk	estamos demasiado borrachos	estamos demasiado borrachos	were too drunk	train
i dont like this	no me gusta esto	no me gusta esto	i dont like this	train
were ready to help	estamos listos para ayudar	estamos listos para ayudar	were ready to help	train
tom is extremely naive	tomás es extremadamente ingenuo	tomás es extremadamente ingenuo	tom is extremely naive	train
that worked well	eso funcionó bien	eso funcionó bien	that worked well	train
i went too far	fui demasiado lejos	fui demasiado lejos	i went too far	train
tom isnt joking	tom no está jodiendo	tom no está jodiendo	tom isnt joking	train
i love to dance	me encanta bailar	me encanta bailar	i love to dance	train
go back to bed	vuelve a la cama	vuelve a la cama	go back to bed	train
tom came early	tom vino temprano	tom vino temprano	tom came early	train
i hope youre listening	espero que estés escuchando	espero que estés escuchando	i hope youre listening	train
did tom help ?	¿ tom ayudó ?	¿ tom ayudó ?	did tom help ?	train
is it good ?	¿ está bueno ?	¿ está bueno ?	is it good ?	train
i know the difference	sé la diferencia	sé la diferencia	i know the difference	train
shes still alive	ella aún sigue viva	ella aún sigue viva	shes still alive	train
i prefer coffee	yo prefiero café	prefiero café|yo prefiero café	i prefer coffee	train
we like it	nos gusta	nos gusta	we like it	train
tom sells coffee	tomás vende café	tomás vende café	tom sells coffee	train
here is your book	aquí está tu libro	aquí está tu libro|éste es tu libro	here is your book|your book is here	train
i was awake	estaba despierto	estaba despierto	i was awake	train
i have two children	tengo dos hijos	tengo dos hijos	i have two children	train
have you eaten ?	¿ has comido ?	¿ has comido ?	have you eaten ?	train
yes you can	sí podés	sí podés	yes you can	train
tom sat reading	tom estaba sentado leyendo	tom estaba sentado leyendo	tom sat reading	train
its an ugly situation	es una situación fea	es una situación fea	its an ugly situation	train
im poor	soy pobre	soy pobre	im poor	train
i need tom	necesito a tom	necesito a tom	i need tom	train
it was really dumb	fue realmente estúpido	fue realmente estúpido	it was really dumb	train
yanni wants more money	yanni quiere más dinero	yanni quiere más dinero	yanni wants more money	train
tom has no money	tom no tiene dinero	tom no tiene dinero|tom no tiene plata	tom has no money	train
you know this	ya lo sabes	tú conoces esto|tú sabes esto|ya lo sabes	you know this	train
it sounds great !	¡ suena genial !	¡ suena genial !	it sounds great !	train
im still busy	todavía estoy ocupado	todavía estoy ocupada|todavía estoy ocupado	im still busy	train
im sorry for you	lo siento por ti	lo siento por ti	i feel for you|im sorry for you	train
you havent changed much	no has cambiado mucho	no has cambiado mucho	you havent changed much	train
the horse is mine	el caballo es mío	el caballo es mío	the horse is mine	train
she wrote a book	ella escribió un libro	ella escribió un libro	she wrote a book	train
think about it	piénsalo	piénsalo	think about it|think about this	train
im learning english	estoy aprendiendo inglés	estoy aprendiendo inglés	im learning english	train
mary knows many things	mary sabe muchas cosas	mary sabe muchas cosas	mary knows many things	train
we saw something	vimos algo	vimos algo	we saw something	train
im sorry but no	lo siento pero no	lo siento pero no	im sorry but no	train
this isnt french	esto no es francés	esto no es francés	this isnt french	train
this is terrible	esto es terrible	esto es terrible	this is terrible	train
im playing baseball	estoy jugando béisbol	estoy jugando béisbol	i am playing baseball|im playing baseball	train
wrong !	¡ mal !	¡ mal !	wrong !	train
you do not understand	tú no entiendes	tú no entiendes	you do not understand	train
walk with me	camina conmigo	camina conmigo	walk with me	train
it works well	funciona bien	funciona bien	it works fine|it works well	train
what a woman !	¡ qué mujer !	¡ qué mujer !	what a woman !	train
they wouldnt believe me	no me querían creer	no me querían creer	they wouldnt believe me	train
i want that	quiero eso	quiero eso	i want that	train
youre naive	eres ingenuo	eres ingenuo|sos ingenuo	youre naive	train
time for dinner	es hora de cenar	es hora de cenar|es hora de comer	its time for dinner|time for dinner	train
its tea	es té	es té	its tea	train
he wasnt interested	él no estaba interesado	él no estaba interesado	he wasnt interested	train
just water please	sólo agua por favor	sólo agua por favor	just water please	train
excuse me	disculpe	disculpe	excuse me|sorry	train
tom didnt come back	tom no volvió	tom no volvió	tom didnt come back	train
tom knows the answer	tom sabe la respuesta	tom sabe la respuesta	tom knows the answer	train
this man is drunk	este hombre está borracho	este hombre está borracho	this man is drunk	train
it is too late	es demasiado tarde	es demasiado tarde	it is too late	train
something is wrong	algo no anda bien	algo no anda bien	something is wrong	train
somebody called	alguien llamó	alguien llamó	somebody called	train
im not married yet	todavía no estoy casado	todavía no estoy casado	im not married yet	train
hey john	oye john	oye john	hey john	train
theres no coffee	hace falta café	hace falta café|no hay café	theres no coffee	train
she came last	ella llegó la última	ella llegó la última|ella llegó última	she came last	train
welcome home	bienvenida a casa	bienvenida a casa|bienvenido a casa	welcome home	train
you seem pretty busy	pareces muy ocupado	pareces muy ocupado	you seem pretty busy	train
are you english ?	¿ eres inglesa ?	¿ eres inglesa ?|¿ eres inglés ?|¿ es inglesa ?|¿ es inglés ?	are you english ?	train
my dog bit him	mi perro lo mordió	mi perro lo mordió	my dog bit him	train
i have great news	tengo muy buenas noticias	tengo muy buenas noticias	i have great news	train
they are going	ellos se van	ellos se van	they are going	train
im going with her	voy con ella	voy con ella	im going with her	train
dont forget the ticket	no olvides el boleto	no olvides el boleto	dont forget the ticket	train
my pen is new	mi bolígrafo es nuevo	mi bolígrafo es nuevo	my pen is new	train
im happy too	estoy feliz también	estoy feliz también	im happy too	train
its still here	todavía está aquí	todavía está aquí	he is still here|its still here	train
you must study more	tienes que estudiar más	debes estudiar más|tienes que estudiar más	you must study more	train
he is lying	él miente	está mintiendo|él está mintiendo|él miente	he is lying|hes lying	train
tom was really sad	tom estaba realmente triste	tom estaba realmente triste	tom was really sad	train
i am not sure	no estoy seguro	no estoy seguro	i am not sure|im not sure	train
im not studying english	no estoy estudiando inglés	no estoy estudiando inglés	im not studying english	train
they cannot stop her	no pueden pararla	no pueden pararla	they cannot stop her|they cant stop her	train
this is my computer	este es mi ordenador	esta es mi computadora|este es mi ordenador	this is my computer	train
i cant sleep	no puedo dormir	no puedo dormir	i cant sleep	train
sad !	¡ qué triste !	¡ qué triste !	sad !	train
its a true story	es una historia real	es una historia real	its a true story	train
its too expensive	es demasiado caro	es demasiado caro	it is too expensive|its too expensive|thats too expensive	train
he needs money	él necesita dinero	le falta dinero|él necesita dinero	he needs money	train
i see a boy	veo un niño	veo un niño	i see a boy	train
i stopped drinking coffee	dejé de beber café	dejé de beber café	i stopped drinking coffee	train
come and see	venid y mirad	ven y mira|venid y mirad	come and look|come and see	train
it doesnt work yet	aún no funciona	aún no funciona	it doesnt work yet	train
all is still	todo está en calma	todo está en calma	all is quiet|all is still	train
thanks for the flowers	gracias por las flores	gracias por las flores	thanks for the flowers	train
its still warm	todavía está caliente	todavía está caliente	its still warm	train
im not perfect	no soy perfecta	no soy perfecta	im not perfect	train
its free	es gratis	es gratis	its for free|its free|this is free	train
she might come	ella podría venir	ella podría venir|puede que venga	she might come	train
mary is very pretty	mary es muy linda	mary es muy guapa|mary es muy linda	mary is very pretty	train
it is gone now	ha salido ahora	ha salido ahora	he has left now|it is gone now	train
he is watching tv	él está viendo televisión	él está viendo televisión	he is watching tv	train
im really old	soy muy viejo	soy muy viejo	im really old	train
work more	trabaja más	trabaja más	work more	train
i know everything	lo sé todo	lo sé todo	i know everything	train
kids will be kids	los niños son así	los niños son así	kids will be kids	train
tom is pretty dumb	tom es bastante estúpido	tom es bastante estúpido	tom is pretty dumb	train
stand up and walk	levántate y anda	levántate y anda	stand up and walk	train
we buy	nosotras compramos	compramos|nosotras compramos|nosotros compramos	we buy	train
its secret	es secreto	es secreto	its a secret|its secret	train
weve already tried	ya hemos intentado	ya hemos intentado	weve already tried	train
tom wants a bicycle	tom quiere una bicicleta	tom quiere una bicicleta	tom wants a bicycle	train
it doesnt matter much	no importa mucho	no importa mucho	it doesnt matter much	train
its no joke	no es una broma	no es una broma	its no joke	train
were leaving now	nos vamos ya	nos vamos ya	were leaving now	train
i cant write anymore	no puedo escribir más	no puedo escribir más	i cant write anymore	train
please dont talk	no hables por favor	no hables por favor	please dont talk	train
sit still	siéntate y quédate quieto	siéntate y quédate quieto	sit still	train
no one lives here	nadie vive aquí	aquí no vive nadie|nadie vive aquí	no one lives here|nobody lives here	train
i didnt hear anything	no he oído nada	no he oído nada	i didnt hear anything|i havent heard anything|ive heard nothing	train
well done !	¡ bien hecho !	¡ bien hecho !	good job !|well done|well done !	train
it wasnt found	no fue encontrado	no fue encontrado	it wasnt found	train
theres no danger	no hay peligro	no hay peligro	theres no danger	train
father came home	papá volvió a casa	papá volvió a casa	father came home	train
we arent friends	no somos amigos	no somos amigos	we arent friends|were not friends	train
what a man !	¡ qué hombre !	¡ qué hombre !	what a man !	train
lets make a cake	hagamos una torta	hagamos una torta	lets make a cake	train
tom has many cats	tom tiene muchos gatos	tom tiene muchos gatos	tom has many cats	train
sami seems busy	sami parece ocupado	sami parece ocupado	sami seems busy	train
nice to meet you	mucho gusto	encantado|encantado de conocerte|mucho gusto	nice to meet you	train
please teach me french	por favor enséñame francés	por favor enséñame francés	please teach me french	train
he is a student	él es estudiante	él es estudiante	he is a student	train
somebody touched me	alguien me tocó	alguien me tocó	somebody touched me	train
im not ugly	no soy feo	no soy feo	im not ugly	train
he saw it also	él lo vio también	también lo vio|él lo vio también	he saw it also	train
i didnt write anything	yo no escribí nada	yo no escribí nada	i didnt write anything	train
many people were there	mucha gente estaba allí	mucha gente estaba allí	many people were there	train
im looking for them	los estoy buscando	los estoy buscando	im looking for them	train
its important	es importante	es importante	its important	train
tom wasnt happy	tom no era feliz	tom no era feliz	tom wasnt happy	train
i couldnt breathe	no podía respirar	no podía respirar	i couldnt breathe	train
you like swimming	te gusta nadar	te gusta nadar	you like swimming	train
leave tom to me	déjame a tom	déjame a tom	leave tom to me	train
answer the phone	coge el teléfono	coge el teléfono	answer the phone	train
youre wrong	estás equivocado	estás equivocado	you are wrong|youre wrong	train
you look green	te ves verde	te ves verde	you look green	train
tom likes it	a tom le gusta	a tom le gusta	tom likes it	train
i saw the house	vi la casa	vi la casa|yo vi la casa	i saw the house	train
its so beautiful	es tan bella	es tan bella	its so beautiful|shes so beautiful	train
am i pregnant ?	¿ estoy embarazada ?	¿ estoy embarazada ?	am i pregnant ?	train
somebody opened the door	alguien abrió la puerta	alguien abrió la puerta	somebody opened the door|someone opened the door	train
the movie was interesting	la película fue interesante	la película fue interesante	the movie was interesting	train
give me an apple	dame una manzana	dame una manzana	give me an apple	train
youre a woman	eres una mujer	eres una mujer	you are a woman|youre a woman	train
they are great friends	son grandes amigos	son grandes amigos	they are great friends	train
you have enough time	tienes bastante tiempo	tienes bastante tiempo	you have enough time	train
it really works	sí que funciona	realmente funciona|sí que funciona|verdaderamente va	it really works	train
tom is listening	tom está escuchando	tom está escuchando	tom is listening|toms listening	train
i guess thats possible	supongo que es posible	supongo que es posible	i guess thats possible	train
this is serious tom	esto es grave tom	esto es grave tom	this is serious tom	train
heres the address	acá está la dirección	acá está la dirección	heres the address	train
im nervous too	yo también estoy nervioso	yo también estoy nervioso	im nervous too	train
stop talking	cállate	cállate	stop talking	train
theyre children	son niños	son niños	theyre children	train
tom broke the rules	tom rompió las reglas	tom rompió las reglas	tom broke the rules	train
weve already tried that	ya hemos intentado eso	ya hemos intentado eso	weve already tried that	train
well do it	lo haremos	lo haremos	we will do it|well do it	train
i want the best	quiero lo mejor	quiero lo mejor	i want the best	train
tom became nervous	tom se puso nervioso	tom se puso nervioso	tom became nervous|tom got nervous	train
the meeting is tomorrow	la reunión es mañana	la reunión es mañana	the meeting is tomorrow	train
her father is japanese	su papá es japonés	su padre es japonés|su papá es japonés	her father is japanese|his father is japanese	train
we all love tom	todos amamos a tom	todos amamos a tom	we all love tom	train
tom has been busy	tom ha estado ocupado	tom ha estado ocupado	tom has been busy	train
im very excited	estoy muy emocionada	estoy muy emocionada	im so excited|im very excited	train
the food is terrible	la comida es terrible	la comida es terrible	the food is terrible	train
we like snow	nos gusta la nieve	nos gusta la nieve	we like snow|we like the snow	train
pleased he smiled	contento él sonrió	contento él sonrió	pleased he smiled|satisfied he smiled	train
im wise	soy inteligente	soy inteligente|soy listo	i am smart|im wise	train
this is normal	esto es normal	esto es normal	this is normal	train
that book is small	ese libro es pequeño	ese libro es pequeño	that book is small	train
you may be right	puede que tenga razón	puede que tenga razón|puede que tengas razón	you may be right	train
speak clearly	habla claramente	habla claramente|hable claramente	say it clearly|speak clearly	train
i need to pay	yo necesito pagar	yo necesito pagar	i need to pay	train
she doesnt understand you	no te entiende	ella no le entiende|ella no les entiende|ella no te entiende|no te entiende	he doesnt understand you|she doesnt understand you	train
maybe itll snow	puede que nieve	puede que nieve|quizá nieve	it may snow|maybe itll snow	train
i know them all	los conozco a todos	los conozco a todos	i know them all	train
tom finished his homework	tom terminó su tarea	tom terminó su tarea	tom finished his homework	train
a dog was running	había un perro corriendo	había un perro corriendo	a dog was running	train
you shouldve called	deberías haber llamado	deberías haber llamado	you shouldve called	train
she drives me mad	ella me vuelve loco	ella me vuelve loco	she drives me mad	train
the question is this	esta es la pregunta	esta es la pregunta	the question is this	train
ill show you	te mostraré	le mostraré|te mostraré	ill show you	train
it can be done	se puede hacer	se puede hacer	it can be done	train
i ate one	yo me comí una	me comí una|me comí uno|yo me comí una|yo me comí uno	i ate one	train
i missed the train	perdí el tren	perdí el tren	i missed the train	train
im a good cook	soy un buen cocinero	soy buena para cocinar|soy un buen cocinero	im a good cook	train
who is singing ?	¿ quién canta ?	¿ quién canta ?	who is singing ?	train
its me	soy yo	soy yo	it is i|its me|its me !|thats me	train
be careful	¡ sé cuidadoso !	¡ sé cuidadoso !|¡ ten cuidado !	be careful	train
this is toms	eso es de tom	eso es de tom	this is toms	train
me !	¡ yo !	¡ yo !	me !	train
tom is in boston	tomás está en boston	tomás está en boston	tom is in boston	train
this is tom	este es tom	este es tom	this is tom	train
lets go to eat	vamos a comer	vamos a comer	lets go eat|lets go to eat	train
take a good look	abra bien sus ojos	abra bien sus ojos	take a good look	train
keep in touch !	mantente en contacto	mantente en contacto	keep in touch|keep in touch !	train
your name please	su nombre por favor	su nombre por favor|tu nombre por favor	your name please	train
i got thirsty	me dio sed	me dio sed	i got thirsty	train
it looks like rain	parece lluvia	parece lluvia	it looks like rain	train
he is ill	él está enfermo	él está enfermo	he is ill|he is sick	train
im your father	yo soy tu padre	soy tu padre|yo soy tu padre	i am your father|im your father	train
she hates running	ella odia correr	ella odia correr	she hates running	train
see you again	nos vemos luego	nos vemos luego	see you again	train
here is your change	toma tu cambio	aquí tiene su cambio|toma tu cambio	here is your change	train
something happened in boston	algo ocurrió en boston	algo ocurrió en boston	something happened in boston	train
they helped him	ellos lo ayudaron	ellas lo ayudaron|ellos lo ayudaron|lo ayudaron	they helped him	train
my father is young	mi padre es joven	mi padre es joven	my father is young	train
ill go in	voy a entrar	voy a entrar	ill go in	train
its just midnight	es justo medianoche	es justo medianoche	its just midnight	train
the decision was easy	la decisión era fácil	la decisión era fácil	the decision was easy	train
its monday	es lunes	es lunes	its monday|today its monday	train
they like attention	les gusta la atención	les gusta la atención	they like attention	train
suddenly he saw me	de repente me vio	de repente me vio	suddenly he saw me	train
tom is canadian	tom es canadiense	tom es canadiense	tom is a canadian|tom is canadian|toms canadian	train
theyve left	han salido	han salido|se han ido	theyve left	train
remember these rules	recuerda estas reglas	recuerda estas reglas	remember these rules	train
you are new students	ustedes son estudiantes nuevos	ustedes son estudiantes nuevos	you are new students	train
tom doesnt remember anything	tom no recuerda nada	tom no recuerda nada	tom doesnt remember anything	train
my horse is black	mi caballo es negro	mi caballo es negro	my horse is black	train
you look happy	se le ve feliz	parece usted feliz|se le ve feliz|te ves contento	you look happy	train
hes a singing teacher	es profesor de canto	es profesor de canto	hes a singing teacher	train
she has hope	tiene esperanza	tiene esperanza	she has hope	train
theyre watching	están mirando	están mirando	theyre watching	train
im in the car	estoy en el coche	estoy en el coche	im in the car	train
i am embarrassed	estoy avergonzado	estoy avergonzado	i am embarrassed|im embarrassed	train
you must work more	tienes que trabajar más	debes trabajar más|tienes que trabajar más|usted debe trabajar más	you must work more	train
nothing is missing	no falta nada	no falta nada	nothing is missing	train
is she dead ?	¿ está muerta ?	¿ está muerta ?	is she dead ?	train
her parents died	sus padres murieron	sus padres murieron	her parents died	train
he asked after you	preguntó por ti	preguntó por ti	he asked after you	train
he wrote a letter	él escribió una carta	él escribió una carta	he wrote a letter|he wrote one letter	train
they won	ellos ganaron	ellos ganaron	they won	train
dont make me laugh	no me hagas reír	no me hagas reír	dont make me laugh	train
tom was hiding something	tom estaba ocultando algo	tom estaba ocultando algo	tom was hiding something	train
maybe im wrong	puede que esté equivocado	puede que esté equivocado	maybe im wrong	train
we became friends	nos hicimos amigos	nos hicimos amigos	we became friends	train
can i try ?	¿ puedo intentar ?	¿ puedo intentar ?	can i try ?	train
i am single	estoy soltera	estoy soltera|estoy soltero|soy soltera|soy soltero	i am single|im single	train
my sister is pretty	mi hermana es guapa	mi hermana es bella|mi hermana es guapa	my sister is pretty	train
this is her house	ésta es su casa	ésta es su casa	this is her house|this is his house|this is their house|this is your house	train
they both died	ambos murieron	ambos murieron	they both died	train
calm down please	tranquilo por favor	tranquilo por favor	calm down please	train
and then ?	¿ y luego ?	¿ entonces qué ?|¿ y entonces ?|¿ y luego ?|¿ y qué ?	and then ?	train
i love tom	lo amo a tomás	lo amo a tomás	i love tom	train
great idea	gran idea	gran idea	great idea	train
she came alone	ella vino sola	ella vino sola	she came alone	train
tom is very smart	tom es muy inteligente	tom es muy inteligente	tom is very intelligent|tom is very smart	train
she isnt young	ella no es joven	ella no es joven	she is not young|she isnt young	train
he almost died	casi se muere	casi se muere	he almost died	train
its night	es de noche	es de noche	its night	train
toms always hungry	tom siempre tiene hambre	tom siempre tiene hambre	toms always hungry	train
tom arrived by car	tom vino en auto	tom vino en auto	tom arrived by car|tom came by car	train
no ones been here	nadie ha estado aquí	nadie ha estado aquí	no ones been here	train
its very old	es muy vieja	es muy vieja|es muy viejo	its very old	train
this books new	este libro es nuevo	este libro es nuevo	this book is new|this books new	train
i wrote this book	escribí este libro	escribí este libro	i wrote this book	train
sit there	sentate ahí	sentate ahí	sit there	train
dont cry	¡ no llores !	no llores|¡ no llores !	dont cry	train
ive been shot	me dispararon	me dispararon	ive been shot	train
this smells like cheese	esto huele a queso	esto huele a queso	this smells like cheese	train
its your life	es tu vida	es tu vida	its your life	train
lets go to boston	vayamos a boston	vayamos a boston	lets go to boston	train
this is pretty boring	esto es bastante aburrido	esto es bastante aburrido	this is pretty boring	train
this book is green	este libro es verde	este libro es verde	this book is green	train
we love to help	nos encanta ayudar	nos encanta ayudar	we love to help	train
the world is dangerous	el mundo es peligroso	el mundo es peligroso	the world is dangerous	train
stop going there	deja de ir allí	deja de ir allí	stop going there	train
that man is dangerous	ese hombre es peligroso	ese hombre es peligroso	that man is dangerous	train
i felt ill	me sentí mal	me sentí mal	i felt bad|i felt ill	train
its probably tom	probablemente sea tom	probablemente sea tom	its probably tom	train
come right in	ven adentro	entra|entra aquí|pasa adentro|ven adentro	come right in	train
playing tennis is fun	jugar tenis es divertido	jugar tenis es divertido	playing tennis is fun	train
hes still single	él es soltero todavía	él es soltero todavía	hes still single	train
take your time	tómate tu tiempo	tómate tu tiempo	just take your time|take your time	train
youre mean	eres mala	eres mala|eres malo	youre bad|youre mean	train
i can trust him	puedo confiar en él	puedo confiar en él	i can trust him	train
someones there	alguien está allí	alguien está allí	someones there	train
tom wasnt drunk	tomás no estaba borracho	tomás no estaba borracho	tom wasnt drunk	train
tom doesnt buy it	tom no lo cree	tom no lo cree	tom doesnt buy it	train
i liked everything	me gustó todo	me gustó todo	i liked everything	train
im coming back tonight	vuelvo esta noche	vuelvo esta noche	im coming back tonight	train
i feel it now	yo lo siento ahora	yo lo siento ahora	i feel it now	train
i have three sisters	tengo tres hermanas	tengo tres hermanas	i have three sisters	train
she sings well	ella canta bien	ella canta bien	she sings well	train
ill take him	lo tomo	lo tomo	i take him|i take it|ill take him|ill take it	train
this is so good	esto está tan bueno	esto está tan bueno	this is so good	train
tom abandoned the idea	tom abandonó la idea	tom abandonó la idea	tom abandoned the idea	train
no one believes me	nadie me cree	nadie me cree	no one believes me|nobody believes me	train
tom cant win	tomás no puede ganar	tomás no puede ganar	tom cant win	train
tom abandoned me	tom me abandonó	tom me abandonó	tom abandoned me	train
tom was very busy	tom estaba muy ocupado	tom estaba muy ocupado	tom was very busy	train
i forgot about that	lo olvidé	lo olvidé|se me olvidó	i forgot|i forgot about that|i forgot it	train
im not crying	no estoy llorando	no estoy llorando	im not crying	train
shes eating for two	está comiendo por dos	está comiendo por dos	shes eating for two	train
he loves coffee	le encanta el café	le encanta el café	he loves coffee|she loves coffee	train
were safe for now	de momento estamos seguros	de momento estamos seguros	were safe for now	train
we can help	nosotros podemos ayudar	nosotros podemos ayudar|podemos ayudar	we can help	train
bill call me tonight	bill llámame esta noche	bill llámame esta noche	bill call me tonight	train
i gave my word	di mi palabra	di mi palabra	i gave my word	train
i must go there	debo ir allá	debo ir allá	i must go there	train
give me your keys	dame tus llaves	dame tus llaves	give me your keys	train
who knows ?	¿ quién sabe ?	¿ quién sabe ?	who knows ?	train
were sleepy	tenemos sueño	tenemos sueño	were sleepy	train
tom was smoking	tomás estaba fumando	tomás estaba fumando	tom was smoking	train
he was embarrassed	estaba avergonzado	estaba avergonzado	he was embarrassed|i was embarrassed	train
i find swimming fun	nadar me es divertido	nadar me es divertido	i find swimming fun	train
the problem is her	el problema es ella	el problema es ella	the problem is her	train
they speak about us	ellos hablan sobre nosotros	ellas hablan sobre nosotras|ellos hablan sobre nosotros	they speak about us	train
we are drinking tea	bebemos té	bebemos té	we are drinking tea	train
i cant stop her	no puedo pararla	no puedo pararla	i cant stop her	train
youre doing fine	lo estás haciendo bien	lo estás haciendo bien	youre doing fine|youre doing it right	train
you are a dog	eres un perro	eres un perro	you are a dog|youre a dog	train
i know nothing	no sé nada	no sé nada	i dont know anything|i know nothing	train
she works very hard	ella trabaja muy duro	ella trabaja muy duro	she works very hard	train
i like to walk	me gusta caminar	me gusta caminar|me gusta pasear	i like to walk	train
listen carefully	escuchen con cuidado	escucha con atención|escuchen con cuidado	listen carefully	train
i can be fair	yo puedo ser justo	yo puedo ser justo	i can be fair	train
i see well	yo veo bien	yo veo bien	i see well	train
singing is their thing	lo suyo es cantar	lo suyo es cantar	singing is her thing|singing is his thing|singing is their thing	train
he is running	él está corriendo	él está corriendo	he is running	train
theyre trying	lo están intentando	lo están intentando	theyre trying	train
i dont mind	me da igual	me da igual|no me importa	i dont care|i dont mind	train
it was very dark	estaba muy oscuro	estaba muy oscuro	it was very dark	train
thats my idea	esa es mi idea	esa es mi idea	thats my idea	train
are you thirsty ?	¿ tienes sed ?	¿ tienes sed ?	are you thirsty ?	train
she went on working	ella siguió trabajando	ella siguió trabajando	she continued working|she kept on working|she went on working	train
are they busy ?	¿ están ocupados ?	¿ están ocupados ?	are they busy ?	train
its hot today	está haciendo calor hoy	está haciendo calor hoy|hace calor hoy|hoy hace calor	its hot today	train
nice talking with you	fue agradable hablar contigo	fue agradable hablar contigo	nice talking with you	train
it doesnt seem serious	no parece serio	no parece serio	it doesnt seem serious	train
please sit down	tome asiento por favor	por favor siéntese|sentate por favor|siéntate por favor|siéntese por favor|tome asiento por favor	have a seat please|please have a seat|please sit down|please take a seat|sit down please|take a seat please	train
were still working	todavía estamos trabajando	todavía estamos trabajando	were still working	train
i like men	me gustan los hombres	me gustan los hombres	i like men	train
tom needs mary	tomás necesita a maría	tomás necesita a maría	tom needs mary	train
he can hardly speak	apenas puede hablar	apenas puede hablar	he can hardly speak|she can hardly speak	train
i cant say	no lo puedo decir	no lo puedo decir|no puedo decir	i cant say	train
im calling boston	estoy llamando a boston	estoy llamando a boston	im calling boston	train
im thinking about something	estoy pensando en algo	estoy pensando en algo	im thinking about something	train
i forgot it	lo olvidé	lo olvidé	i forgot|i forgot about that|i forgot it	train
are you married ?	¿ estás casado ?	¿ eres casada ?|¿ estás casada ?|¿ estás casado ?	are you married ?	train
shoot !	¡ fuego !	¡ fuego !	fire !|shoot !	train
